AbsoluteTime,Phase,Step,Loop,Iteration,Frequency,CPU_Usage,RSZ,SWAP,Cumul_pflts,Temperature,Read_Kbps,Write_Kbps
1676837689895,*,*,*,*,2792053,,,,,,,
1676837690096,*,*,*,*,2813886,,,,,,,
1676837690295,*,*,*,*,2861801,,,,,,,
1676837690495,*,*,*,*,2877005,,,,,,,
1676837690695,*,*,*,*,2864030,,,,,,,
1676837690825,*,*,*,*,*,100.0,516.4m,0:00:00,0,82000,0.00,
1676837690896,*,*,*,*,2813377,,,,,,,
1676837691098,*,*,*,*,2748651,,,,,,,
1676837691296,*,*,*,*,2868040,,,,,,,
1676837691496,*,*,*,*,2862985,,,,,,,
1676837691696,*,*,*,*,2812036,,,,,,,
1676837691897,*,*,*,*,2844291,,,,,,,
1676837692096,*,*,*,*,2824232,,,,,,,
1676837692112,*,*,*,*,*,93.3,685.3m,0:00:00,0,84000,0.00,
1676837692299,*,*,*,*,2836511,,,,,,,
1676837692496,*,*,*,*,2802328,,,,,,,
1676837692695,*,*,*,*,2861423,,,,,,,
1676837692896,*,*,*,*,2864628,,,,,,,
1676837693096,*,*,*,*,2854315,,,,,,,
1676837693296,*,*,*,*,2870432,,,,,,,
1676837693384,*,*,*,*,*,93.3,863.7m,0:00:00,0,84000,0.00,
1676837693495,*,*,*,*,2839523,,,,,,,
1676837693696,*,*,*,*,2769280,,,,,,,
1676837693895,*,*,*,*,2866961,,,,,,,
1676837694095,*,*,*,*,2877035,,,,,,,
1676837694296,*,*,*,*,2865429,,,,,,,
1676837694495,*,*,*,*,2863538,,,,,,,
1676837694660,*,*,*,*,*,100.0,1.0g,0:00:00,0,79000,0.00,
1676837694696,*,*,*,*,2832823,,,,,,,
1676837694900,*,*,*,*,2693873,,,,,,,
1676837695096,*,*,*,*,2838659,,,,,,,
1676837695296,*,*,*,*,2873542,,,,,,,
